filza	page	status	trans	scan
03	124v	OK	yes	yes
03	125r	OK	yes	yes
03	125v	OK	yes	yes
03	126r	OK	yes	yes
03	126v	OK	yes	yes
03	127r	OK	yes	yes
03	127v	OK	yes	yes
03	128r	OK	yes	yes
03	128v	OK	yes	yes
03	129r	OK	yes	yes
03	129v	OK	yes	yes
03	130r	OK	yes	yes
03	130v	OK	yes	yes
03	131r	OK	yes	yes
03	131v	OK	yes	yes
03	132r	OK	yes	yes
03	132v	OK	yes	yes
03	133r	OK	yes	yes
03	133v	OK	yes	yes
03	134r	OK	yes	yes
03	134v	OK	yes	yes
03	135r	OK	yes	yes
03	135v	OK	yes	yes
03	136r	OK	yes	yes
03	136v	OK	yes	yes
03	137r	OK	yes	yes
03	137v	OK	yes	yes
03	138r	OK	yes	yes
03	138v	OK	yes	yes
03	139r	OK	yes	yes
03	139v	OK	yes	yes
03	140r	OK	yes	yes
03	140v	OK	yes	yes
03	141r	OK	yes	yes
03	141v	OK	yes	yes
03	142r	OK	yes	yes
03	142v	OK	yes	yes
03	143r	OK	yes	yes
03	143v	OK	yes	yes
03	144r	OK	yes	yes
03	144v	OK	yes	yes
03	145r	OK	yes	yes
03	145v	OK	yes	yes
03	146r	OK	yes	yes
03	146v	OK	yes	yes
03	147r	OK	yes	yes
03	147v	OK	yes	yes
03	148r	OK	yes	yes
03	148v	OK	yes	yes
03	149r	OK	yes	yes
03	149v	OK	yes	yes
03	150r	OK	yes	yes
03	150v	OK	yes	yes
03	151r	OK	yes	yes
03	151v	OK	yes	yes
03	152r	OK	yes	yes
03	152v	OK	yes	yes
03	153r	OK	yes	yes
03	153v	OK	yes	yes
03	154r	OK	yes	yes
03	154v	OK	yes	yes
03	155r	OK	yes	yes
03	155v	OK	yes	yes
03	156r	OK	yes	yes
03	156v	OK	yes	yes
03	157r	OK	yes	yes
03	157v	OK	yes	yes
03	158r	OK	yes	yes
03	158v	OK	yes	yes
03	159r	OK	yes	yes
03	159v	OK	yes	yes
03	160r	OK	yes	yes
03	160v	OK	yes	yes
03	161r	OK	yes	yes
03	161v	OK	yes	yes
03	162r	OK	yes	yes
03	162v	OK	yes	yes
03	163r	OK	yes	yes
03	163v	OK	yes	yes
03	164r	OK	yes	yes
03	164v	OK	yes	yes
03	165r	OK	yes	yes
03	165v	OK	yes	yes
03	166r	OK	yes	yes
03	166v	OK	yes	yes
03	167r	OK	yes	yes
03	167v	OK	yes	yes
03	168r	OK	yes	yes
03	168v	OK	yes	yes
03	169r	OK	yes	yes
03	169v	OK	yes	yes
03	170r	OK	yes	yes
03	170v	OK	yes	yes
03	171r	OK	yes	yes
03	171v	OK	yes	yes
03	172r	OK	yes	yes
03	172v	OK	yes	yes
03	173r	OK	yes	yes
